signature	id	name	parameter	result type	result count	state	desc	example
h.getBoneAng(n)	h	getBoneAng	n	a	1	0		
h.getBonePos(n)	h	getBonePos	n	v	1	0		
h.getBoneScale(n)	h	getBoneScale	n	v	1	0		
h.getColor()	h	getColor		c	1	0		
h.getID()	h	getID		n	1	0		
h.getMaterial()	h	getMaterial		s	1	0		
h.getModel()	h	getModel		s	1	0		
h.getParentEntity()	h	getParentEntity		_nil	0	0		
h.getParentHologram()	h	getParentHologram		_nil	0	0		
h.getParentPlayer()	h	getParentPlayer		_nil	0	0		
h.getPose()	h	getPose		n	1	0		
h.getScale()	h	getScale		v	1	0		
h.getScaleUnits()	h	getScaleUnits		v	1	0		
h.getSkin()	h	getSkin		n	1	0		
h.getSkinCount()	h	getSkinCount		n	1	0		
h.hasShading()	h	hasShading		b	1	0		
h.isVisible()	h	isVisible		b	1	0		
"h.jiggleBone(n,b)"	h	jiggleBone	"n,b"	_nil	0	0		
"h.moveTo(v,n)"	h	moveTo	"v,n"	_nil	0	0		
h.parent(e)	h	parent	e	_nil	0	0		
h.parent(h)	h	parent	h	_nil	0	0		
h.parent(p)	h	parent	p	_nil	0	0		
"h.parentAttachment(e,s)"	h	parentAttachment	"e,s"	_nil	0	0		
"h.parentAttachment(h,s)"	h	parentAttachment	"h,s"	_nil	0	0		
"h.parentAttachment(p,s)"	h	parentAttachment	"p,s"	_nil	0	0		
"h.pushClip(n,v,v,b)"	h	pushClip	"n,v,v,b"	_nil	0	0		
h.remove()	h	remove		_nil	0	0		
h.removeClip(n)	h	removeClip	n	_nil	0	0		
"h.rotateTo(a,n)"	h	rotateTo	"a,n"	_nil	0	0		
"h.scaleTo(v,n)"	h	scaleTo	"v,n"	_nil	0	0		
"h.scaleToUnits(v,n)"	h	scaleToUnits	"v,n"	_nil	0	0		
h.setAng(a)	h	setAng	a	_nil	0	0		
h.setAnimation(n)	h	setAnimation	n	_nil	0	0		
"h.setAnimation(n,n)"	h	setAnimation	"n,n"	_nil	0	0		
"h.setAnimation(n,n,n)"	h	setAnimation	"n,n,n"	_nil	0	0		
h.setAnimation(s)	h	setAnimation	s	_nil	0	0		
"h.setAnimation(s,n)"	h	setAnimation	"s,n"	_nil	0	0		
"h.setAnimation(s,n,n)"	h	setAnimation	"s,n,n"	_nil	0	0		
h.setAnimationRate(n)	h	setAnimationRate	n	_nil	0	0		
"h.setBodygroup(n,n)"	h	setBodygroup	"n,n"	_nil	0	0		
"h.setBoneAngle(n,a)"	h	setBoneAngle	"n,a"	_nil	0	0		
"h.setBonePos(n,v)"	h	setBonePos	"n,v"	_nil	0	0		
"h.setBoneScale(n,v)"	h	setBoneScale	"n,v"	_nil	0	0		
"h.setClipNormal(n,v)"	h	setClipNormal	"n,v"	_nil	0	0		
"h.setClipOrigin(n,v)"	h	setClipOrigin	"n,v"	_nil	0	0		
h.setColor(c)	h	setColor	c	_nil	0	0		
h.setID(n)	h	setID	n	_nil	0	0		
h.setMaterial(s)	h	setMaterial	s	_nil	0	0		
h.setModel(s)	h	setModel	s	_nil	0	0		
h.setPos(v)	h	setPos	v	_nil	0	0		
"h.setPose(s,n)"	h	setPose	"s,n"	_nil	0	0		
h.setScale(v)	h	setScale	v	_nil	0	0		
h.setScaleUnits(v)	h	setScaleUnits	v	_nil	0	0		
h.setShading(b)	h	setShading	b	_nil	0	0		
h.setShadow(b)	h	setShadow	b	_nil	0	0		
h.setSkin(n)	h	setSkin	n	_nil	0	0		
h.setVisible(b)	h	setVisible	b	_nil	0	0		
h.startMove(v)	h	startMove	v	_nil	0	0		
h.startRotate(a)	h	startRotate	a	_nil	0	0		
h.stopMove()	h	stopMove		_nil	0	0		
h.stopRotate()	h	stopRotate		_nil	0	0		
h.stopScale()	h	stopScale		_nil	0	0		
h.unparent()	h	unparent		_nil	0	0		
hologram.ang()	h	ang		a	1	1		
hologram.angVel()	h	angVel		a	1	1		
hologram.angVelVector()	h	angVelVector		v	1	1		
hologram.applyAngForce(a)	h	applyAngForce	a	_nil	0	0		
hologram.applyDamage(n)	h	applyDamage	n	_nil	0	1		
hologram.applyForce(v)	h	applyForce	v	_nil	0	0		
hologram.applyOffsetForce(v)	h	applyOffsetForce	v	_nil	0	0		
hologram.applyTorque(v)	h	applyTorque	v	_nil	0	0		
hologram.armor()	h	armor		n	1	1		
hologram.attachmentAng(n)	h	attachmentAng	n	a	1	1		
hologram.attachmentPos(n)	h	attachmentPos	n	v	1	1		
hologram.attachments()	h	attachments		t	1	1		
"hologram.axis(v,e,v)"	h	axis	"v,e,v"	_nil	0	0		
"hologram.axis(v,e,v,n)"	h	axis	"v,e,v,n"	_nil	0	0		
"hologram.axis(v,e,v,n,v)"	h	axis	"v,e,v,n,v"	_nil	0	0		
"hologram.ballsocket(e,v)"	h	ballsocket	"e,v"	_nil	0	0		
"hologram.ballsocket(e,v,n)"	h	ballsocket	"e,v,n"	_nil	0	0		
"hologram.ballsocket(v,e,v,v,v,n)"	h	ballsocket	"v,e,v,v,v,n"	_nil	0	0		
hologram.bearing(v)	h	bearing	v	n	1	1		
hologram.boxCenter()	h	boxCenter		v	1	1		
hologram.boxMaxs()	h	boxMaxs		v	1	1		
hologram.boxMins()	h	boxMins		v	1	1		
hologram.boxSize()	h	boxSize		v	1	1		
hologram.constraintBreak()	h	constraintBreak		_nil	0	0		
hologram.constraintBreak(s)	h	constraintBreak	s	_nil	0	0		
hologram.elevation(v)	h	elevation	v	n	1	1		
hologram.energy()	h	energy		n	1	1		
hologram.extinguish()	h	extinguish		_nil	0	0		
hologram.eyeAngles()	h	eyeAngles		a	1	1		
hologram.eyePos()	h	eyePos		v	1	1		
hologram.forward()	h	forward		v	1	1		
hologram.getAng()	h	getAng		a	1	1		
hologram.getBoneCount()	h	getBoneCount		n	1	1		
hologram.getBoneIndex()	h	getBoneIndex		n	1	1		
hologram.getChildren()	h	getChildren		t	1	0		
hologram.getClass()	h	getClass		s	1	1		
hologram.getColor()	h	getColor		c	1	1		
hologram.getConstraints()	h	getConstraints		t	1	0		
hologram.getConstraintsByType(s)	h	getConstraintsByType	s	t	1	0		
hologram.getDriver()	h	getDriver		p	1	1		
hologram.getGravity()	h	getGravity		n	1	1		
hologram.getMass()	h	getMass		n	1	1		
hologram.getMassCenter()	h	getMassCenter		v	1	1		
hologram.getMaterial()	h	getMaterial		s	1	1		
hologram.getModel()	h	getModel		s	1	1		
hologram.getParent()	h	getParent		e	1	0		
hologram.getPos()	h	getPos		v	1	1		
hologram.getSubMaterial(n)	h	getSubMaterial	n	s	1	1		
hologram.getWeld()	h	getWeld		_con	1	0		
hologram.getWeld(n)	h	getWeld	n	_con	1	0		
hologram.getWirelink()	h	getWirelink		_wl	1	1		
hologram.groundEntity()	h	groundEntity		e	1	1		
hologram.heading(v)	h	heading	v	a	1	1		
hologram.health()	h	health		n	1	1		
hologram.id()	h	id		n	1	1		
hologram.ignite(n)	h	ignite	n	_nil	0	0		
hologram.inertia()	h	inertia		v	1	1		
hologram.invInertia()	h	invInertia		n	1	1		
hologram.isConstrained()	h	isConstrained		n	1	0		
hologram.isConstrainedTo()	h	isConstrainedTo		e	1	0		
hologram.isConstrainedTo(n)	h	isConstrainedTo	n	e	1	0		
"hologram.isConstrainedTo(n,s)"	h	isConstrainedTo	"n,s"	e	1	0		
hologram.isFrozen()	h	isFrozen		b	1	0		
hologram.isHeldByPlayer()	h	isHeldByPlayer		b	1	1		
hologram.isNPC()	h	isNPC		b	1	1		
hologram.isOnFire()	h	isOnFire		b	1	1		
hologram.isPlayer()	h	isPlayer		b	1	1		
hologram.isRagdoll()	h	isRagdoll		b	1	1		
hologram.isValid()	h	isValid		b	1	1		
hologram.isVehicle()	h	isVehicle		b	1	1		
hologram.isWeapon()	h	isWeapon		b	1	1		
hologram.isWeldedTo()	h	isWeldedTo		e	1	0		
hologram.isWeldedTo(n)	h	isWeldedTo	n	e	1	0		
hologram.lookupAttachment(s)	h	lookupAttachment	s	n	1	1		
hologram.maxArmor()	h	maxArmor		n	1	1		
hologram.maxHealth()	h	maxHealth		n	1	1		
hologram.noCollide(e)	h	noCollide	e	_nil	0	0		
hologram.noCollideAll(b)	h	noCollideAll	b	_nil	0	0		
hologram.onGround()	h	onGround		b	1	1		
hologram.owner()	h	owner		p	1	1		
hologram.parent()	h	parent		e	1	1		
hologram.physics()	h	physics		_ph	1	1		
hologram.pos()	h	pos		v	1	1		
hologram.radius()	h	radius		n	2	1		
hologram.remove()	h	remove		_nil	0	0		
hologram.removeTrails()	h	removeTrails		_nil	0	1		
hologram.resetSubMaterials()	h	resetSubMaterials		_nil	0	0		
hologram.right()	h	right		v	1	1		
hologram.setAng(a)	h	setAng	a	_nil	0	0		
hologram.setColor(c)	h	setColor	c	_nil	0	0		
hologram.setFrozen(b)	h	setFrozen	b	_nil	0	0		
hologram.setGravity(b)	h	setGravity	b	_nil	0	0		
hologram.setMass(n)	h	setMass	n	_nil	0	0		
hologram.setMaterial(s)	h	setMaterial	s	_nil	0	0		
hologram.setNotSolid(b)	h	setNotSolid	b	_nil	0	0		
hologram.setParent(e)	h	setParent	e	_nil	0	0		
hologram.setPassenger()	h	setPassenger		p	1	1		
hologram.setPos(v)	h	setPos	v	_nil	0	0		
"hologram.setSubMaterial(n,s)"	h	setSubMaterial	"n,s"	_nil	0	0		
"hologram.setTrails(n,n,n,s,c,n,b)"	h	setTrails	"n,n,n,s,c,n,b"	_nil	0	1		
hologram.setVel(v)	h	setVel	v	_nil	0	0		
hologram.toLocal(a)	h	toLocal	a	a	1	1		
hologram.toLocal(v)	h	toLocal	v	v	1	1		
hologram.totalConstraints()	h	totalConstraints		n	1	0		
hologram.toWorld(v)	h	toWorld	v	v	1	1		
hologram.unParent()	h	unParent		_nil	0	0		
hologram.up()	h	up		v	1	1		
hologram.use()	h	use		_nil	0	0		
hologram.Vel()	h	Vel		v	1	1		
hologram.VelL()	h	VelL		v	1	1		
hologram.waterLevel()	h	waterLevel		n	1	1		
hologram.weld(e)	h	weld	e	_nil	0	0		
"hologram.weldAng(v,e)"	h	weldAng	"v,e"	_nil	0	0		
hologram.worldSpaceAABB()	h	worldSpaceAABB		v	2	1		
hologram.worldSpaceCenter()	h	worldSpaceCenter		v	2	1		
p.aimEntity()	p	aimEntity		e	1	1		
p.aimPos()	p	aimPos		v	1	1		
p.deaths()	p	deaths		n	1	1		
p.eyeAngles()	p	eyeAngles		a	1	1		
p.eyePos()	p	eyePos		v	1	1		
p.getAllWeapons()	p	getAllWeapons		t	1	1		
p.getAmmoPrimary()	p	getAmmoPrimary		s	1	1		
p.getAmmoSecondary()	p	getAmmoSecondary		s	1	1		
p.getAngles()	p	getAngles		v	1	1		
p.getClipPrimary()	p	getClipPrimary		s	1	1		
p.getClipSecondary()	p	getClipSecondary		s	1	1		
p.getPos()	p	getPos		v	1	1		
p.getTool()	p	getTool		s	1	1		
p.getToolName()	p	getToolName		s	1	1		
p.getVehicle()	p	getVehicle		e	1	1		
p.isAdmin()	p	isAdmin		b	1	1		
p.isBot()	p	isBot		b	1	1		
p.isCrouching()	p	isCrouching		b	1	1		
p.isFlashlightOn()	p	isFlashlightOn		b	1	1		
p.isInVehicle()	p	isInVehicle		b	1	1		
p.isSuperAdmin()	p	isSuperAdmin		b	1	1		
p.isTyping()	p	isTyping		b	1	1		
p.isValid()	p	isValid		b	1	1		
p.keyAttack1()	p	keyAttack1		b	1	1		
p.keyAttack2()	p	keyAttack2		b	1	1		
p.keyBack()	p	keyBack		b	1	1		
p.keyDown(n)	p	keyDown	n	b	1	1		
p.keyDuck()	p	keyDuck		b	1	1		
p.keyForward()	p	keyForward		b	1	1		
p.keyJump()	p	keyJump		b	1	1		
p.keyLeft()	p	keyLeft		b	1	1		
p.keyLeftTurn()	p	keyLeftTurn		b	1	1		
p.keyReload()	p	keyReload		b	1	1		
p.keyRight()	p	keyRight		b	1	1		
p.keyRightTurn()	p	keyRightTurn		b	1	1		
p.keySprint()	p	keySprint		b	1	1		
p.keyUse()	p	keyUse		b	1	1		
p.keyWalk()	p	keyWalk		b	1	1		
p.keyZoom()	p	keyZoom		b	1	1		
p.kills()	p	kills		n	1	1	Returns the number of kills for the player.	
p.name()	p	name		s	1	1	Returns the name of the player.	
p.ping()	p	ping		n	1	1	Returns the ping of the player.	
p.steamFriendStatus()	p	steamFriendStatus		s	1	2	Returns the Steam friend status of the player.	
p.steamID()	p	steamID		s	1	1	Returns the Steam ID of the player.	
p.steamID64()	p	steamID64		s	1	1	Returns the Steam ID64 of the player.	
p.teamID()	p	teamID		n	1	1	Returns the team ID of the player.	
player.ang()	p	ang		a	1	1	Returns the angle of the player.	
player.angVel()	p	angVel		a	1	1	Returns the angular velocity of the player.	
player.angVelVector()	p	angVelVector		v	1	1	Returns the angular velocity vector of the player.	
player.applyAngForce(a)	p	applyAngForce	a	_nil	0	0	Applies angular force to the player.	
player.applyDamage(n)	p	applyDamage	n	_nil	0	1	Applies damage to the player.	
player.applyForce(v)	p	applyForce	v	_nil	0	0	Applies force to the player.	
player.applyOffsetForce(v)	p	applyOffsetForce	v	_nil	0	0	Applies offset force to the player.	
player.applyTorque(v)	p	applyTorque	v	_nil	0	0	Applies torque to the player.	
player.armor()	p	armor		n	1	1	Returns the armor of the player.	
player.attachmentAng(n)	p	attachmentAng	n	a	1	1		
player.attachmentPos(n)	p	attachmentPos	n	v	1	1		
player.attachments()	p	attachments		t	1	1		
"player.axis(v,e,v)"	p	axis	"v,e,v"	_nil	0	0	Creates an axis between <ent1> and <ent2> at vector positions local to each ent.	
"player.axis(v,e,v,n)"	p	axis	"v,e,v,n"	_nil	0	0	"Creates an axis between <ent1> and <ent2> at vector positions local to each ent, with <friction> friction."	
"player.axis(v,e,v,n,v)"	p	axis	"v,e,v,n,v"	_nil	0	0	"Creates an axis between <ent1> and <ent2> at vector positions local to each ent, with <friction> friction and <localaxis> rotation axis."	
"player.ballsocket(e,v)"	p	ballsocket	"e,v"	_nil	0	0	"Creates a ballsocket between <ent1> and <ent2> at <v>, which is local to <ent1>"	
"player.ballsocket(e,v,n)"	p	ballsocket	"e,v,n"	_nil	0	0	"Creates a ballsocket between <ent1> and <ent2> at <v>, which is local to <ent1>, with friction <friction>"	
"player.ballsocket(v,e,v,v,v,n)"	p	ballsocket	"v,e,v,v,v,n"	_nil	0	0	"Creates an adv ballsocket between <ent1> and <ent2> at <v>, which is local to <ent1>, with many settings"	
player.bearing(v)	p	bearing	v	n	1	1	Returns the bearing of the player.	
player.boxCenter()	p	boxCenter		v	1	1	Returns the center of the bounding box of the player.	
player.boxMaxs()	p	boxMaxs		v	1	1	Returns the maximum coordinates of the bounding box of the player.	
player.boxMins()	p	boxMins		v	1	1	Returns the minimum coordinates of the bounding box of the player.	
player.boxSize()	p	boxSize		v	1	1	Returns the size of the bounding box of the player.	
player.constraintBreak()	p	constraintBreak		_nil	0	0	Breaks the constraint of the player.	
player.constraintBreak(s)	p	constraintBreak	s	_nil	0	0	Breaks the constraint of the player with a specific type.	
player.elevation(v)	p	elevation	v	n	1	1	Returns the elevation of the player.	
player.energy()	p	energy		n	1	1	Returns the energy of the player.	
player.extinguish()	p	extinguish		_nil	0	0	Extinguishes the player.	
player.eyeAngles()	p	eyeAngles		a	1	1	Returns the eye angles of the player.	
player.eyePos()	p	eyePos		v	1	1	Returns the eye position of the player.	
player.forward()	p	forward		v	1	1	Returns the forward vector of the player.	
player.getAng()	p	getAng		a	1	1	Returns the angle of the player.	
player.getBoneCount()	p	getBoneCount		n	1	1	Returns the number of bones in the player.	
player.getBoneIndex()	p	getBoneIndex		n	1	1	Returns the bone index of the player.	
player.getChildren()	p	getChildren		t	1	0	Returns the children of the player.	
player.getClass()	p	getClass		s	1	1	Returns the class of the player.	
player.getColor()	p	getColor		c	1	1	Returns the color of the player.	
player.getConstraints()	p	getConstraints		t	1	0	Returns the constraints of the player.	
player.getConstraintsByType(s)	p	getConstraintsByType	s	t	1	0	Returns the constraints of the player by type.	
player.getDriver()	p	getDriver		p	1	1	Returns the driver of the player.	
player.getGravity()	p	getGravity		n	1	1	Returns the gravity of the player.	
player.getMass()	p	getMass		n	1	1	Returns the mass of the player.	
player.getMassCenter()	p	getMassCenter		v	1	1	Returns the mass center of the player.	
player.getMaterial()	p	getMaterial		s	1	1	Returns the material of the player.	
player.getModel()	p	getModel		s	1	1	Returns the model of the player.	
player.getParent()	p	getParent		e	1	0	Returns the parent of the player.	
player.getPos()	p	getPos		v	1	1	Returns the position of the player.	
player.getSubMaterial(n)	p	getSubMaterial	n	s	1	1	Returns the sub-material of the player.	
player.getWeld()	p	getWeld		_con	1	0	Returns the weld of the player.	
player.getWeld(n)	p	getWeld	n	_con	1	0	Returns the weld of the player by index.	
player.getWirelink()	p	getWirelink		_wl	1	1	Returns the wirelink of the player.	
player.groundEntity()	p	groundEntity		e	1	1	Returns the ground entity of the player.	
player.heading(v)	p	heading	v	a	1	1	Returns the heading vector of the player.	
player.health()	p	health		n	1	1	Returns the health of the player.	
player.id()	p	id		n	1	1	Returns the ID of the player.	
player.ignite(n)	p	ignite	n	_nil	0	0	Ignites the player for a specified duration.	
player.inertia()	p	inertia		v	1	1	Returns the inertia of the player.	
player.invInertia()	p	invInertia		n	1	1	Returns the inverse inertia of the player.	
player.isConstrained()	p	isConstrained		n	1	0	Checks if the player is constrained.	
player.isConstrainedTo()	p	isConstrainedTo		e	1	0	Checks if the player is constrained to an entity.	
player.isConstrainedTo(n)	p	isConstrainedTo	n	e	1	0	Checks if the player is constrained to a specific entity.	
"player.isConstrainedTo(n,s)"	p	isConstrainedTo	"n,s"	e	1	0	Checks if the player is constrained to a specific entity with a specific type.	
player.isFrozen()	p	isFrozen		b	1	0	Checks if the player is frozen.	
player.isHeldByPlayer()	p	isHeldByPlayer		b	1	1	Checks if the player is held by another player.	
player.isNPC()	p	isNPC		b	1	1	Checks if the player is an NPC.	
player.isOnFire()	p	isOnFire		b	1	1	Checks if the player is on fire.	
player.isPlayer()	p	isPlayer		b	1	1	Checks if the player is a player entity.	
player.isRagdoll()	p	isRagdoll		b	1	1	Checks if the player is a ragdoll.	
player.isValid()	p	isValid		b	1	1	Checks if the player is a valid entity.	
player.isVehicle()	p	isVehicle		b	1	1	Checks if the player is a vehicle.	
player.isWeapon()	p	isWeapon		b	1	1	Checks if the player is a weapon.	
player.isWeldedTo()	p	isWeldedTo		e	1	0	Checks if the player is welded to another entity.	
player.isWeldedTo(n)	p	isWeldedTo	n	e	1	0	Checks if the player is welded to a specific entity.	
player.lookupAttachment(s)	p	lookupAttachment	s	n	1	1	Looks up the attachment point of the player by name.	
player.maxArmor()	p	maxArmor		n	1	1	Returns the maximum armor of the player.	
player.maxHealth()	p	maxHealth		n	1	1	Returns the maximum health of the player.	
player.noCollide(e)	p	noCollide	e	_nil	0	0	Nocollides <ent1> to <ent2>	
player.noCollideAll(b)	p	noCollideAll	b	_nil	0	0	"Nocollides <ent> to entities/players, just like Right Click of No-Collide Stool"	
player.onGround()	p	onGround		b	1	1	Checks if the player is on the ground.	
player.owner()	p	owner		p	1	1	Returns the owner of the player entity.	
player.parent()	p	parent		e	1	1	Returns the parent entity of the player.	
player.physics()	p	physics		_ph	1	1	Returns the physics state of the player.	
player.pos()	p	pos		v	1	1	Returns the position of the player.	
player.radius()	p	radius		n	2	1	Returns the radius of the player.	
player.remove()	p	remove		_nil	0	0	Removes the player entity.	
player.removeTrails()	p	removeTrails		_nil	0	1	Removes any trails attached to the player.	
player.resetSubMaterials()	p	resetSubMaterials		_nil	0	0	Resets any sub-materials of the player.	
player.right()	p	right		v	1	1	Returns the right vector of the player.	
player.setAng(a)	p	setAng	a	_nil	0	0	Sets the angle of the player.	
player.setColor(c)	p	setColor	c	_nil	0	0	Sets the color of the player.	
player.setFrozen(b)	p	setFrozen	b	_nil	0	0	Sets the frozen state of the player.	
player.setGravity(b)	p	setGravity	b	_nil	0	0	Sets the gravity state of the player.	
player.setMass(n)	p	setMass	n	_nil	0	0	Sets the mass of the player.	
player.setMaterial(s)	p	setMaterial	s	_nil	0	0	Sets the material of the player.	
player.setNotSolid(b)	p	setNotSolid	b	_nil	0	0	Sets the solidity state of the player.	
player.setParent(e)	p	setParent	e	_nil	0	0	Sets the parent entity of the player.	
player.setPassenger()	p	setPassenger		p	1	1	Sets the player as a passenger.	
player.setPos(v)	p	setPos	v	_nil	0	0	Sets the position of the player.	
"player.setSubMaterial(n,s)"	p	setSubMaterial	"n,s"	_nil	0	0	Sets a sub-material of the player.	
"player.setTrails(n,n,n,s,c,n,b)"	p	setTrails	"n,n,n,s,c,n,b"	_nil	0	1	Sets trails for the player.	
player.setVel(v)	p	setVel	v	_nil	0	0	Sets the velocity of the player.	
player.toLocal(a)	p	toLocal	a	a	1	1	Converts a direction from world space to local space.	
player.toLocal(v)	p	toLocal	v	v	1	1	Converts a vector from world space to local space.	
player.totalConstraints()	p	totalConstraints		n	1	0	Returns the total number of constraints on the player.	
player.toWorld(a)	p	toWorld	a	a	1	1	Converts a direction from local space to world space.	
player.toWorld(v)	p	toWorld	v	v	1	1	Converts a vector from local space to world space.	
player.unParent()	p	unParent		_nil	0	0	Unparents the player entity.	
player.up()	p	up		v	1	1	Returns the up vector of the player.	
player.use()	p	use		_nil	0	0	Activates the player entity for use.	
player.Vel()	p	Vel		v	1	1	Returns the velocity of the player.	
player.VelL()	p	VelL		v	1	1	Returns the linear velocity of the player.	
player.waterLevel()	p	waterLevel		n	1	1	Returns the water level of the player.	
player.weld(e)	p	weld	e	_nil	0	0	Welds the player to another entity.	
"player.weldAng(v,e)"	p	weldAng	"v,e"	_nil	0	0	Welds the player to another entity with a specific angle.	
player.worldSpaceAABB()	p	worldSpaceAABB		v	2	1	Returns the axis-aligned bounding box of the player in world space.	
player.worldSpaceCenter()	p	worldSpaceCenter		v	2	1	Returns the center point of the player in world space.	
q.abs()	q	abs		q	1	1	Returns the absolute value of the quaternion.	
q.clone()	q	clone		q	1	1	Returns a copy of the quaternion.	
q.conj()	q	conj		q	1	1	Returns the conjugate of the quaternion.	
q.dot(q)	q	dot	q	n	1	1	Computes the dot product of two quaternions.	
q.exp()	q	exp		q	1	1	Computes the exponential of the quaternion.	
q.forward()	q	forward		v	1	1	Returns the forward vector from the quaternion.	
q.getI()	q	getI		n	1	1	Retrieves the I component of the quaternion.	
q.getJ()	q	getJ		n	1	1	Retrieves the J component of the quaternion.	
q.getK()	q	getK		n	1	1	Retrieves the K component of the quaternion.	
q.getR()	q	getR		n	1	1	Retrieves the real part of the quaternion.	
q.inv()	q	inv		q	1	1	Computes the inverse of the quaternion.	
q.log()	q	log		q	1	1	Computes the natural logarithm of the quaternion.	
q.normalized()	q	normalized		q	1	1	Returns the normalized form of the quaternion.	
q.qMod()	q	qMod		q	1	1	Computes the quaternion modulus.	
q.right()	q	right		v	1	1	Returns the right vector from the quaternion.	
q.setI(n)	q	setI	n	_nil	0	1	Sets the I component of the quaternion.	
q.setJ(n)	q	setJ	n	_nil	0	1	Sets the J component of the quaternion.	
q.setK(n)	q	setK	n	_nil	0	1	Sets the K component of the quaternion.	
q.setR(n)	q	setR	n	_nil	0	1	Sets the real part of the quaternion.	
q.toAngle()	q	toAngle		a	1	1	Converts the quaternion to an angle.	
q.toString()	q	toString		_nil	1	1	Converts the quaternion to a string representation.	
q.up()	q	up		v	1	1	Returns the up vector from the quaternion.	
q.vec()	q	vec		v	1	1	Returns the vector part of the quaternion.	
q.withI()	q	withI		q	1	1	Sets the I component of the quaternion and returns a new quaternion.	
q.withJ()	q	withJ		q	1	1	Sets the J component of the quaternion and returns a new quaternion.	
q.withK()	q	withK		q	1	1	Sets the K component of the quaternion and returns a new quaternion.	
q.withR()	q	withR		q	1	1	Sets the R component of the quaternion and returns a new quaternion.	
s.char()	s	char		n	1	1	Returns the character at the specified index in the string.	
s.endsWith(s)	s	endsWith	s	b	1	1	Checks if the string ends with the specified substring.	
"s.find(s,_ptr)"	s	find	"s,_ptr"	n	2	1	Searches for a substring in the string and returns its index.	
"s.find(s,_ptr,n)"	s	find	"s,_ptr,n"	n	2	1	"Searches for a substring in the string and returns its index, starting from a specified position."	
"s.find(s,s)"	s	find	"s,s"	n	2	1	Searches for a pattern in the string and returns its index.	
"s.find(s,s,n)"	s	find	"s,s,n"	n	2	1	"Searches for a pattern in the string and returns its index, starting from a specified position."	
"s.gmatch(s,_ptr,f)"	s	gmatch	"s,_ptr,f"	s	1	1	"Iterates over the string, finding all matches to the given pattern and invoking a function for each match."	
s.lower()	s	lower		s	1	1	Converts the string to lowercase.	
"s.match(s,_ptr,n)"	s	match	"s,_ptr,n"	s	1	1	Attempts to match a string against a pattern and returns the matches.	
s.patternSafe()	s	patternSafe		s	1	1	Escapes special characters in the string so it can be used safely as a pattern.	
s.rep(n)	s	rep	n	s	1	1	Repeats the string a specified number of times.	
"s.rep(n,s)"	s	rep	"n,s"	s	1	1	Replaces a specified number of occurrences of a pattern in the string.	
"s.rep(n,s,s)"	s	rep	"n,s,s"	s	1	1	"Replaces a specified number of occurrences of a pattern in the string, starting from a specified position."	
s.replace()	s	replace		s	1	1	Replaces all occurrences of a specified pattern in the string.	
"s.replace(_ptr,s,n)"	s	replace	"_ptr,s,n"	s	1	1	"Replaces all occurrences of a specified pattern in the string, up to a specified limit."	
s.reverse()	s	reverse		s	1	1	Reverses the string.	
s.right(n)	s	right	n	s	1	1	Returns the last n characters of the string.	
"s.setChar(n,s)"	s	setChar	"n,s"	s	1	1	Sets the character at the specified index in the string.	
s.split(s)	s	split	s	t	1	1	Splits the string into substrings based on a specified separator and returns them as a table.	
s.startWith(s)	s	startWith	s	b	1	1	Checks if the string starts with the specified substring.	
s.sub(n)	s	sub	n	s	1	1	Returns a substring starting from the specified index.	
"s.sub(n,n)"	s	sub	"n,n"	s	1	1	Returns a substring starting from the specified start index to the end index.	
s.toNumber(n)	s	toNumber	n	n	1	1	Converts the string to a number.	
s.trim(s)	s	trim	s	s	1	1	Removes specified characters from both ends of the string.	
s.trimLeft(s)	s	trimLeft	s	s	1	1	Removes specified characters from the beginning of the string.	
s.trimRight(s)	s	trimRight	s	s	1	1	Removes specified characters from the end of the string.	
s.upper()	s	upper		s	1	1	Converts the string to uppercase.	
t.contains(_cls)	t	contains	_cls	b	1	1	Returns true if the value is present on the table.	
t.contains(_con)	t	contains	_con	b	1	1	Returns true if the value is present on the table.	
t.contains(_crf)	t	contains	_crf	b	1	1	Returns true if the value is present on the table.	
t.contains(_cv)	t	contains	_cv	b	1	1	Returns true if the value is present on the table.	
t.contains(_e2t)	t	contains	_e2t	b	1	1	Returns true if the value is present on the table.	
t.contains(_ed)	t	contains	_ed	b	1	1	Returns true if the value is present on the table.	
t.contains(_er)	t	contains	_er	b	1	1	Returns true if the value is present on the table.	
t.contains(_mx2)	t	contains	_mx2	b	1	1	Returns true if the value is present on the table.	
t.contains(_mx3)	t	contains	_mx3	b	1	1	Returns true if the value is present on the table.	
t.contains(_mx4)	t	contains	_mx4	b	1	1	Returns true if the value is present on the table.	
t.contains(_nil)	t	contains	_nil	b	1	1	Returns true if the value is present on the table.	
t.contains(_ph)	t	contains	_ph	b	1	1	Returns true if the value is present on the table.	
t.contains(_ptr)	t	contains	_ptr	b	1	1	Returns true if the value is present on the table.	
t.contains(_rd)	t	contains	_rd	b	1	1	Returns true if the value is present on the table.	
t.contains(_snd)	t	contains	_snd	b	1	1	Returns true if the value is present on the table.	
t.contains(_ts)	t	contains	_ts	b	1	1	Returns true if the value is present on the table.	
t.contains(_usmg)	t	contains	_usmg	b	1	1	Returns true if the value is present on the table.	
t.contains(_v2)	t	contains	_v2	b	1	1	Returns true if the value is present on the table.	
t.contains(_vr)	t	contains	_vr	b	1	1	Returns true if the value is present on the table.	
